iter	Passed	Remaining
0	2	256
1	5	255
2	7	246
3	9	228
4	11	223
5	15	241
6	17	233
7	19	226
8	21	218
9	23	215
10	26	211
11	28	209
12	30	205
13	32	200
14	34	197
15	35	187
16	36	178
17	37	170
18	38	163
19	39	156
20	40	151
21	41	145
22	42	141
23	43	136
24	44	132
25	44	127
26	45	124
27	46	120
28	47	116
29	48	113
30	49	110
31	50	106
32	51	104
33	52	101
34	53	98
35	53	95
36	54	93
37	56	91
38	57	89
39	59	88
40	60	87
41	61	84
42	62	83
43	64	81
44	66	80
45	67	79
46	69	77
47	70	76
48	72	75
49	73	73
50	75	72
51	76	70
52	78	69
53	79	67
54	80	65
55	81	64
56	83	62
57	84	61
58	86	59
59	87	58
60	88	56
61	89	55
62	91	53
63	92	51
64	93	50
65	94	48
66	95	47
67	96	45
68	97	43
69	99	42
70	100	41
71	101	39
72	102	38
73	104	36
74	105	35
75	106	33
76	107	32
77	108	30
78	109	29
79	110	27
80	111	26
81	112	24
82	113	23
83	114	21
84	115	20
85	116	19
86	117	17
87	118	16
88	119	14
89	120	13
90	121	12
91	122	10
92	123	9
93	124	7
94	125	6
95	127	5
96	128	3
97	129	2
98	130	1
99	131	0
